,playlist,track_id,year,Title,Artist,Album,Genre,spotify_id,popularity,Genre2
144,Replay 2016,3273,2016,Bitch Better Have My Money,Rihanna,Bitch Better Have My Money - Single,Pop,0NTMtAO2BV4tnGvw9EgBVq,76.0,Pop
145,Replay 2016,3251,2016,Ex's & Oh's,Elle King,Love Stuff,Alternative,70eDxAyAraNTiD6lx2ZEnH,74.0,Alternative
146,Replay 2016,3259,2016,One,Ed Sheeran,x (Wembley Edition),Pop,5TvFfDlVoUWZvfqrhTJzD7,60.0,Pop
147,Replay 2016,2761,2016,Love Again,Pentatonix,"PTX, Vol. II - EP",Pop,0vcyzDe6aoYTg6jM0U0T9r,43.0,Pop
148,Replay 2016,3271,2016,Fastest Girl In Town,Miranda Lambert,Four the Record,Country,6sXK2Fq7Ibi3SN6qYyQgIG,49.0,Country
149,Replay 2016,3231,2016,Little Toy Guns,Carrie Underwood,Greatest Hits: Decade #1,Country,4lnnde7PnrXR3pUzQKBe6X,48.0,Country
150,Replay 2016,3023,2016,Rather Be,Pentatonix,"PTX, Vol. III - EP",Pop,4hxemf0pE0mSzubgsfRLWu,45.0,Pop
151,Replay 2016,1488,2016,How You Get the Girl,Taylor Swift,,,75W3SngKzTuoQ94uLf3y82,66.0,Country
152,Replay 2016,3255,2016,Levels,Nick Jonas,Nick Jonas X2,Pop,6pf9datdAtxQj4EU8UYHSx,53.0,Pop
153,Replay 2016,2757,2016,Valentine,Pentatonix,"PTX, Vol. II - EP",Pop,5djjmpqAOlne6d5RSHQmvu,32.0,Pop
154,Replay 2016,3235,2016,Autumn Leaves (Bonus Track),Ed Sheeran,+ (Deluxe Version),Pop,,,Pop
155,Replay 2016,3191,2016,If I Never See Your Face Again (feat. Rihanna),Maroon 5 feat. Rihanna,If I Never See Your Face Again (feat. Rihanna) - Single,Pop,3jmHMBoFlXy3swI6d9DCxQ,26.0,Pop
156,Replay 2016,3207,2016,One More Night,Maroon 5,Overexposed (Deluxe Version),Pop,4XNrMwGx1SqP01sqkGTDmo,74.0,Pop
157,Replay 2016,3165,2016,3005,Childish Gambino,Because the Internet,Hip-Hop/Rap,2X6b7zLdIxCejd6GqVcQ9M,80.0,Hip-Hop/Rap
158,Replay 2016,3233,2016,You Belong With Me,Taylor Swift,Fearless,Country,1qrpoAMXodY6895hGKoUpA,81.0,Country
159,Replay 2016,3889,2016,Something in the Water,Carrie Underwood,Greatest Hits: Decade #1,Country,10RQKVSr4rS0coExTmi4dF,54.0,Country
160,Replay 2016,2831,2016,Blown Away,Carrie Underwood,Blown Away,Country,0vFMQi8ZnOM2y8cuReZTZ2,63.0,Country
161,Replay 2016,2263,2016,Welcome To New York,Taylor Swift,,,1hR8BSuEqPCCZfv93zzzz9,69.0,Country
162,Replay 2016,3289,2016,Unkiss Me,Maroon 5,V (Deluxe),Pop,1m39XApxHXb2UkGItyyIUO,49.0,Pop
163,Replay 2016,3257,2016,Seventeen,Alessia Cara,Know-It-All (Deluxe),Pop,5HxyJa6E8OXdYKKfufrbKE,47.0,Pop
164,Replay 2016,1968,2016,The Lazy Song,Bruno Mars,Doo-Wops & Hooligans (Deluxe),Pop,1ExfPZEiahqhLyajhybFeS,75.0,Pop
165,Replay 2016,2823,2016,If I Knew,Bruno Mars,Unorthodox Jukebox,Pop,7lXOqE38eCr979gp27O5wr,68.0,Pop
166,Replay 2016,2313,2016,Clarity (feat. Foxes),Zedd,,,4jIQ0wouzKHbi1fYHORIN0,45.0,
167,Replay 2016,3221,2016,Radioactive (feat. Kendrick Lamar),Imagine Dragons,Radioactive (feat. Kendrick Lamar) - Single,Alternative,,,Alternative
168,Replay 2016,1964,2016,Marry You,Bruno Mars,Doo-Wops & Hooligans (Deluxe),Pop,22PMfvdz35fFKYnJyMn077,80.0,Pop
169,Replay 2016,3239,2016,When We Were Young (The Voice Performance),Billy Gilman,When We Were Young (The Voice Performance) - Single,Pop,33X31N1WgDSkWN7GxfpkPb,24.0,Pop
170,Replay 2016,3291,2016,For Free (feat. Drake),DJ Khaled,Major Key,Hip-Hop/Rap,5TqBAOIBe0bQA0spNdcG3k,55.0,Hip-Hop/Rap
171,Replay 2016,3263,2016,River of Tears,Alessia Cara,Know-It-All (Deluxe),Pop,3ArYVrRb0lDBLzuJJqIXzC,57.0,Pop
172,Replay 2016,3245,2016,Stars,Alessia Cara,Know-It-All (Deluxe),Pop,32VoLNDXBTeE786Qma2pv8,35.0,Pop
173,Replay 2016,3241,2016,Overdose,Alessia Cara,Know-It-All (Deluxe),Pop,1ze9WxnqqYD81CjLOkHIo4,41.0,Pop
174,Replay 2016,1694,2016,Tenerife Sea,Ed Sheeran,x (Wembley Edition),Pop,6vSwxzO2Qf4BinHSXRwZJe,54.0,Pop
175,Replay 2017,3091,2017,The A Team,Ed Sheeran,+ (Deluxe Version),Singer/Songwriter,1VdZ0vKfR5jneCmWIUAMxK,73.0,Singer/Songwriter
176,Replay 2017,1860,2017,Eraser,Ed Sheeran,÷ (Deluxe),Pop,7oolFzHipTMg2nL7shhdz2,57.0,Pop
177,Replay 2017,1894,2017,Dive,Ed Sheeran,÷ (Deluxe),Pop,51ChrwmUPDJvedPQnIU8Ls,73.0,Pop
178,Replay 2017,1688,2017,Photograph,Ed Sheeran,x (Wembley Edition),Pop,6fxVffaTuwjgEk5h9QyRjy,71.0,Pop
179,Replay 2017,5117,2017,Russian Roulette,millkzy,,,04YRSuoGZcAj9kj57c6utu,69.0,
180,Replay 2017,3141,2017,Happier,Ed Sheeran,÷ (Deluxe),Pop,2RttW7RAu5nOAfq6YFvApB,76.0,Pop
181,Replay 2017,1662,2017,Perfect,Ed Sheeran,÷ (Deluxe),Pop,0tgVpDi06FyKpA1z0VMD4v,89.0,Pop
182,Replay 2017,1754,2017,How Would You Feel (Paean),Ed Sheeran,÷ (Deluxe),Pop,6PJ8FF6UR8FZXfEvpHkIVN,65.0,Pop
183,Replay 2017,3305,2017,Castle on the Hill,Ed Sheeran,÷ (Deluxe),Pop,6PCUP3dWmTjcTtXY02oFdT,80.0,Pop
184,Replay 2017,1652,2017,Shape of You,Ed Sheeran,÷ (Deluxe),Pop,7qiZfU4dY1lWllzX7mPBI3,89.0,Pop
185,Replay 2017,1742,2017,New Man,Ed Sheeran,÷ (Deluxe),Pop,5HDPtsnyb3maFmPL8LLUTG,61.0,Pop
186,Replay 2017,3301,2017,Pretty Little Birds (feat. Isaiah Rashad),SZA,Ctrl,R&B/Soul,1IgePMOW0qEe1AViWgkal9,68.0,R&B/Soul
187,Replay 2017,3303,2017,Save Myself,Ed Sheeran,÷ (Deluxe),Pop,6TIU9Ehmi6dMzZK73Ym4yj,59.0,Pop
188,Replay 2017,3321,2017,Supermodel,SZA,Ctrl,R&B/Soul,5wTVNpi5WDByxBgKgUE6MU,71.0,R&B/Soul
