playlist,track_id,year
Replay 2016,3281,2016
Replay 2016,1346,2016
Replay 2016,3193,2016
Replay 2016,3197,2016
Replay 2016,3203,2016
Replay 2016,2245,2016
Replay 2016,2228,2016
Replay 2016,1684,2016
Replay 2016,1690,2016
Replay 2016,1682,2016
Replay 2016,3067,2016
Replay 2016,3297,2016
Replay 2016,1828,2016
Replay 2016,1692,2016
Replay 2016,2611,2016
Replay 2016,2765,2016
Replay 2016,1668,2016
Replay 2016,3227,2016
Replay 2016,1704,2016
Replay 2016,3285,2016
Replay 2016,3267,2016
Replay 2016,3217,2016
Replay 2016,2291,2016
Replay 2016,3209,2016
Replay 2016,3299,2016
Replay 2016,2707,2016
Replay 2016,3277,2016
Replay 2016,3205,2016
Replay 2016,3189,2016
Replay 2016,2995,2016
Replay 2016,3213,2016
Replay 2016,2122,2016
Replay 2016,1518,2016
Replay 2016,3223,2016
Replay 2016,3195,2016
Replay 2016,1810,2016
Replay 2016,1772,2016
Replay 2016,3269,2016
Replay 2016,3143,2016
Replay 2016,2315,2016
Replay 2016,2543,2016
Replay 2016,3261,2016
Replay 2016,1688,2016
Replay 2016,3253,2016
Replay 2016,3199,2016
Replay 2016,3211,2016
Replay 2016,3215,2016
Replay 2016,3377,2016
Replay 2016,1666,2016
Replay 2016,3265,2016
Replay 2016,3249,2016
Replay 2016,3201,2016
Replay 2016,3293,2016
Replay 2016,3219,2016
Replay 2016,1824,2016
Replay 2016,3279,2016
Replay 2016,3283,2016
Replay 2016,3295,2016
Replay 2016,1448,2016
Replay 2016,2118,2016
Replay 2016,3229,2016
Replay 2016,3019,2016
Replay 2016,3243,2016
Replay 2016,3287,2016
Replay 2016,3247,2016
Replay 2016,2785,2016
Replay 2016,3275,2016
Replay 2016,3273,2016
Replay 2016,3251,2016
Replay 2016,3259,2016
Replay 2016,2761,2016
Replay 2016,3271,2016
Replay 2016,3231,2016
Replay 2016,3023,2016
Replay 2016,1488,2016
Replay 2016,3255,2016
Replay 2016,2757,2016
Replay 2016,3235,2016
Replay 2016,3191,2016
Replay 2016,3207,2016
Replay 2016,3165,2016
Replay 2016,3233,2016
Replay 2016,3889,2016
Replay 2016,2831,2016
Replay 2016,2263,2016
Replay 2016,3289,2016
Replay 2016,3257,2016
Replay 2016,1968,2016
Replay 2016,2823,2016
Replay 2016,2313,2016
Replay 2016,3221,2016
Replay 2016,1964,2016
Replay 2016,3239,2016
Replay 2016,3291,2016
Replay 2016,3263,2016
Replay 2016,3245,2016
Replay 2016,3241,2016
Replay 2016,1694,2016
Replay 2017,3091,2017
Replay 2017,1860,2017
Replay 2017,1894,2017
Replay 2017,1688,2017
Replay 2017,5117,2017
Replay 2017,3141,2017
Replay 2017,1662,2017
Replay 2017,1754,2017
Replay 2017,3305,2017
Replay 2017,1652,2017
Replay 2017,1742,2017
Replay 2017,3301,2017
Replay 2017,3303,2017
Replay 2017,3321,2017
Replay 2017,1692,2017
Replay 2017,3349,2017
Replay 2017,3339,2017
Replay 2017,3319,2017
Replay 2017,3261,2017
Replay 2017,3345,2017
Replay 2017,1666,2017
Replay 2017,3337,2017
Replay 2017,3315,2017
Replay 2017,3075,2017
Replay 2017,3343,2017
Replay 2017,3307,2017
Replay 2017,3313,2017
Replay 2017,3311,2017
Replay 2017,3309,2017
Replay 2017,3067,2017
Replay 2017,3265,2017
Replay 2017,1704,2017
Replay 2017,3227,2017
Replay 2017,3361,2017
Replay 2017,3341,2017
Replay 2017,1694,2017
Replay 2017,1810,2017
Replay 2017,3353,2017
Replay 2017,1684,2017
Replay 2017,5119,2017
Replay 2017,3351,2017
Replay 2017,3357,2017
Replay 2017,5101,2017
Replay 2017,3317,2017
Replay 2017,1682,2017
Replay 2017,1668,2017
Replay 2017,3355,2017
Replay 2017,3019,2017
Replay 2017,2599,2017
Replay 2017,3363,2017
Replay 2017,2785,2017
Replay 2017,3359,2017
Replay 2017,3375,2017
Replay 2017,5109,2017
Replay 2017,3365,2017
Replay 2017,3367,2017
Replay 2017,3371,2017
Replay 2017,3395,2017
Replay 2017,5121,2017
Replay 2017,3259,2017
Replay 2017,3277,2017
Replay 2017,2787,2017
Replay 2017,2028,2017
Replay 2017,3327,2017
Replay 2017,3333,2017
Replay 2017,2315,2017
Replay 2017,5105,2017
Replay 2017,3369,2017
Replay 2017,3323,2017
Replay 2017,3325,2017
Replay 2017,3235,2017
Replay 2017,1690,2017
Replay 2017,1698,2017
Replay 2017,3397,2017
Replay 2017,3399,2017
Replay 2017,3401,2017
Replay 2017,3335,2017
Replay 2017,2611,2017
Replay 2017,3373,2017
Replay 2017,3273,2017
Replay 2017,3023,2017
Replay 2017,1824,2017
Replay 2017,5099,2017
Replay 2017,5103,2017
Replay 2017,1772,2017
Replay 2017,5111,2017
Replay 2017,5093,2017
Replay 2017,2761,2017
Replay 2017,3347,2017
Replay 2017,5097,2017
Replay 2017,3295,2017
Replay 2017,5107,2017
Replay 2017,5085,2017
Replay 2017,2779,2017
Replay 2017,5113,2017
Replay 2017,5115,2017
Replay 2017,2765,2017
Replay 2017,3403,2017
Replay 2017,3405,2017
Replay 2017,5095,2017
Replay 2018,1608,2018
Replay 2018,2327,2018
Replay 2018,1736,2018
