,apple_id,spotify_id,artist,title,popularity
94,1518,6qAcApH8obo8eqatCKUHd9,Taylor Swift,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),73
95,3223,3ZAMtgYJFoHwJjFkhkXqKr,Big Sean,Dance (A$$) Remix,61
96,3195,18hj0s8eHtGt30whr2PGXB,Pentatonix,Royals,44
97,1772,5AspukpHyZuTciR17YPSrS,Pentatonix,Aha!,41
98,3269,6Xs7OKt6i0Ddq8B4M5Dgvr,Halsey,New Americana,61
99,2315,4sieuDUZuvGySckrUxCgN2,Dream Wonderland,Yoga Rain,64
100,2543,1hWYT0w2R0J19rlVkiez7X,Lupe Fiasco,Battle Scars (with Guy Sebastian),64
101,3261,0xCA70t1ZA4fa9UOE0lIJm,Ed Sheeran,I'm a Mess,60
102,1688,6fxVffaTuwjgEk5h9QyRjy,Ed Sheeran,Photograph,71
103,3253,4pEaGoTSSU7YKu4hqor9Na,Justin Timberlake,Drink You Away,51
104,3199,5W3cjX2J3tjhG8zb6u0qHn,Daft Punk,"Harder, Better, Faster, Stronger",73
105,3211,5kNe7PE09d6Kvw5pAsx23n,Thomas Rhett,Die A Happy Man,75
106,3215,3LlAyCYU26dvFZBDUIMb7a,Imagine Dragons,Demons,74
107,1666,12B0Twa9kRz45Xw2PgXHJm,Ed Sheeran,Afire Love,57
108,3265,6K8qKeWo5MsFED7wCR6Kop,Ed Sheeran,Sing,68
109,3249,4oIHQ7BXApxvJ42yX0d5Qj,Childish Gambino,II. Worldstar,52
110,3201,2bL2gyO6kBdLkNSkxXNh6x,Maroon 5,Animals,82
111,3293,1lHXlGlve5Zx8tXLhyjDwM,Maroon 5,Makes Me Wonder,64
112,3219,32mVHdy0bi1XKgr0ajsBlG,Taylor Swift,Picture To Burn,65
113,1824,0Tel1fmuCxEFV6wBLXsEdk,Ed Sheeran,Kiss Me,68
114,3283,4u26EevCNXMhlvE1xFBJwX,The Band Perry,If I Die Young,67
115,3295,13YQutqrAhT5iX9HOctlu5,Maroon 5,Leaving California,48
116,1448,4SQLQfcR0vhyIN4uPBlc0d,AJR,Bang!,72
117,2118,3wdvFJv9nXCmnBNzP2pMTo,Mackenzie Carpenter,I Wish You Would (ft. Midland),68
118,3229,2xsAm4w9P3kSF1DophKAiF,James Bay,Let It Go,67
119,3019,6fOqEAXCwboCO4BdzbZG1K,Pentatonix,La La Latch (Sam Smith/Disclosure/Naughty Boy Mashup),42
120,3243,4G8gkOterJn0Ywt6uhqbhp,Imagine Dragons,Radioactive,73
121,3247,50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,Love Yourself,85
122,2785,6ukvsBzq4d1vBsAUmz7ZVt,Pentatonix,Daft Punk,55
123,3273,0NTMtAO2BV4tnGvw9EgBVq,Rihanna,Bitch Better Have My Money,76
124,3259,5TvFfDlVoUWZvfqrhTJzD7,Ed Sheeran,One,60
125,2761,0vcyzDe6aoYTg6jM0U0T9r,Pentatonix,Love Again,43
126,3231,4lnnde7PnrXR3pUzQKBe6X,Carrie Underwood,Little Toy Guns,48
127,3023,4hxemf0pE0mSzubgsfRLWu,Pentatonix,Rather Be (Clean Bandit Cover),45
128,1488,75W3SngKzTuoQ94uLf3y82,Taylor Swift,How You Get The Girl (Taylor's Version),66
129,3255,6pf9datdAtxQj4EU8UYHSx,Nick Jonas,Levels,53
130,2757,5djjmpqAOlne6d5RSHQmvu,Pentatonix,Valentine,32
131,3191,3jmHMBoFlXy3swI6d9DCxQ,Maroon 5,If I Never See Your Face Again,26
132,3207,4XNrMwGx1SqP01sqkGTDmo,Maroon 5,One More Night,74
133,3165,2X6b7zLdIxCejd6GqVcQ9M,Childish Gambino,3005,80
134,3233,1qrpoAMXodY6895hGKoUpA,Taylor Swift,You Belong With Me (Taylor’s Version),81
135,2263,1hR8BSuEqPCCZfv93zzzz9,Taylor Swift,Welcome To New York (Taylor's Version),69
136,3289,1m39XApxHXb2UkGItyyIUO,Maroon 5,Unkiss Me,49
137,3257,5HxyJa6E8OXdYKKfufrbKE,Alessia Cara,Seventeen,47
138,1968,1ExfPZEiahqhLyajhybFeS,Bruno Mars,The Lazy Song,75
139,2823,7lXOqE38eCr979gp27O5wr,Bruno Mars,If I Knew,68
140,2313,4jIQ0wouzKHbi1fYHORIN0,Zedd,Clarity (feat. Foxes) - Tiësto Remix,45
141,1964,22PMfvdz35fFKYnJyMn077,Bruno Mars,Marry You,80
142,3239,33X31N1WgDSkWN7GxfpkPb,Billy Gilman,When We Were Young - The Voice Performance,24
143,3291,5TqBAOIBe0bQA0spNdcG3k,DJ Khaled,For Free (feat. Drake),55
144,3263,3ArYVrRb0lDBLzuJJqIXzC,Alessia Cara,River Of Tears,57
145,3245,32VoLNDXBTeE786Qma2pv8,Alessia Cara,Stars,35
146,1694,6vSwxzO2Qf4BinHSXRwZJe,Ed Sheeran,Tenerife Sea,54
